Ind,PH,EH
C0C17_DH137,-6.490639172,-14.40992862
C0C17_DH139,-2.699014227,-15.87980994
C0C17_DH140,-24.59465488,-25.29453769
C0C17_DH141,-8.900582583,-7.216642277
C0C17_DH142,-2.554154117,-20.40943753
C0C17_DH146,1.404318792,-4.903784413
C0C17_DH147,42.68656239,35.75490985
C0C17_DH148,-17.68673262,-10.19317445
C0C17_DH149,1.52828664,8.5550923
C0C17_DH150,-16.83942576,-16.24500763
C0C17_DH152,-2.849303787,-5.651134714
C0C17_DH153,-19.62458198,-11.74677551
C0C17_DH154,-16.54362235,-17.42515267
C0C17_DH155,-36.63308492,-42.65878371
C0C17_DH156,-18.43682102,-10.89982167
C0C17_DH157,-23.94886144,-12.23376564
C0C17_DH158,9.964722151,-8.090193697
C0C17_DH159,11.45937674,-15.24196012
C0C17_DH160,-11.27679512,-12.55632394
C0C17_DH161,23.64109082,25.90149089
C0C17_DH162,6.013207923,-9.893989818
C0C17_DH163,-36.91487835,-25.5448976
C0C17_DH164,-15.2670364,-19.46123333
C0C17_DH165,-11.1341562,2.160457715
C0C17_DH166,-30.0905287,-27.48493372
C0C17_DH168,18.22374163,21.73049747
C0C17_DH169,-4.278997234,3.634812165
C0C17_DH172,-3.399947015,-9.059902384
C0C17_DH174,-12.06661888,-11.9212155
C0C17_DH177,19.46789704,18.48126678
C0C17_DH178,5.71184666,-1.091529396
C0C17_DH183,-0.774596208,1.098453559
C0C17_DH184,-3.497850548,4.029321762
C0C17_DH185,-12.47872627,-10.19829314
C0C17_DH187,-22.16359753,-26.2827711
C0C17_DH188,-14.53608838,1.342844948
C0C17_DH189,3.077761356,-10.48853988
C0C17_DH190,-25.16595947,-9.043225545
C0C17_DH191,-32.88542051,-32.66333764
C0C17_DH192,-8.326263386,-4.896488515
C0C17_DH193,-14.66351529,-14.02295736
C0C17_DH195,20.51497241,28.85222971
C0C17_DH196,8.749166899,12.83448234
C0C17_DH197,12.9541439,-0.028045151
C0C17_DH198,-8.322348005,-16.93392762
C0C17_DH199,10.26722322,2.313665333
C0C17_DH200,-24.79659779,-32.47228855
C0C17_DH201,23.54917649,7.690067232
C0C17_DH202,5.169791024,0.682749862
C0C17_DH203,20.26572564,11.54486648
C0C17_DH204,5.098670607,-0.854960751
C0C17_DH205,-14.26930787,5.830104054
C0C17_DH206,-7.670266245,12.96111225
C0C17_DH207,-31.93543664,-25.95012306
C0C17_DH208,-9.110309812,-17.0868502
C0C17_DH209,3.539676367,-15.21430664
C0C17_DH212,-30.98038262,-32.13716462
C0C17_DH213,-27.35331594,-21.28543595
C0C17_DH214,-24.66274416,-18.12934673
C0C17_DH215,14.70682831,4.441291185
C0C17_DH216,-14.0673115,-23.38050196
C0C17_DH217,1.447592675,7.089124091
C0C17_DH220,2.149742574,-17.6389149
C0C17_DH221,3.58461036,-0.691422204
C0C17_DH222,-39.61400812,-25.50792061
C0C17_DH224,-0.352086572,3.633105439
C0C17_DH225,-22.74578808,-12.96057657
C0C17_DH226,-20.67504243,-17.01981092
C0C17_DH228,-31.93345278,-20.03355724
C0C17_DH230,-26.58616067,-25.73121728
C0C17_DH231,-1.34387013,-12.33464573
C0C17_DH232,-15.55152363,-1.732984784
C0C17_DH234,-34.7915705,-16.58626651
C0C17_DH235,13.46736051,16.08457835
C0C17_DH236,-2.022120263,-15.06070072
C0C17_DH238,-0.300215493,-8.624990183
C0C17_DH242,-19.53044057,-1.453634554
C0C17_DH244,-9.749338616,-16.36960356
C17_DH001,10.81096127,14.51405744
C17_DH003,25.85307845,25.50692316
C17_DH004,-39.09758053,-12.41760932
C17_DH005,-0.985447967,0.835099393
C17_DH006,18.18467106,5.900806498
C17_DH010,-7.482329244,3.308766961
C17_DH011,-1.788944017,1.815478302
C17_DH013,-9.330112608,-4.31368914
C17_DH014,-1.919592089,-5.539522898
C17_DH018,5.646173617,11.07542931
C17_DH019,0.345465755,-5.907111424
C17_DH020,13.66764899,-2.789212706
C17_DH021,-29.10751305,-10.63392026
C17_DH022,-0.824386657,-6.127797864
C17_DH024,6.316245274,12.18317064
C17_DH026,-10.21608518,-7.757416785
C17_DH029,-19.99360802,-22.81928129
C17_DH031,-1.719714125,-16.11418858
C17_DH034,-6.878168957,-12.19313171
C17_DH035,4.90221402,4.22692213
C17_DH036,16.54522112,23.88076226
C17_DH038,-10.34931593,-15.37506369
C17_DH041,-0.925278445,-1.11237885
C17_DH043,-25.08162296,-11.93302123
C17_DH044,4.700701245,-3.856108747
C17_DH045,-3.592208122,-12.22930981
C17_DH046,-2.572743297,-7.140570265
C17_DH050,9.073447498,8.086951412
C17_DH052,30.81461733,12.52834597
C17_DH053,-0.523957881,7.274324202
C17_DH054,-14.89274138,-12.84871618
C17_DH055,-8.544526404,0.610691924
C17_DH056,-17.99929379,-8.547013761
C17_DH058,9.855742758,2.503180789
C17_DH061,-22.16425319,-18.54082401
C17_DH062,7.07083403,-8.199000028
C17_DH064,-7.837305628,-17.48157543
C17_DH066,2.912872936,7.423276422
C17_DH067,-8.804895974,-13.39662966
C17_DH071,-24.0650751,-4.560753088
C17_DH072,11.87217194,3.883594012
C17_DH074,10.33318013,0.631645059
C17_DH077,-21.29024646,-12.41619338
C17_DH078,-4.89153522,-3.572341715
C17_DH079,-14.92972378,0.53507
C17_DH080,-2.248231001,-7.582392575
C17_DH082,8.050384231,4.2415722
C17_DH087,-9.641394161,-3.804572475
C17_DH089,-3.310375835,3.709030701
C17_DH090,-1.60725029,1.376196354
C17_DH091,1.572447047,-0.44003606
C17_DH093,-7.453242198,-11.46972192
C17_DH098,3.463274547,1.68736121
C17_DH102,0.49088754,1.70209109
C17_DH103,-15.47727455,-18.54697501
C17_DH105,1.641587957,0.367351946
C17_DH106,-4.867256814,-14.70460368
C17_DH107,16.53411031,4.955420885
C17_DH108,8.194157056,21.71517417
C17_DH109,-3.561978365,-5.424288926
C17_DH110,8.80478582,1.908497631
C17_DH111,-9.154884492,-7.685529295
C17_DH113,1.652221288,2.649199826
C17_DH115,9.794788645,24.79285607
C17_DH116,-2.501410437,-4.107370187
C17_DH118,6.469105119,6.648116521
C17_DH119,-1.075378316,-3.497523798
C17_DH120,-21.43222619,-11.64251366
C17_DH121,-16.18843455,-7.140732156
C17_DH124,-1.841874162,-3.556925769
C17_DH126,29.05051925,16.22612974
C17_DH127,-4.907250987,-2.729717354
C17_DH128,-8.684587581,-9.031543116
C17_DH129,-13.68822864,-0.067282346
C17_DH132,-5.800201583,-2.102010459
C17_DH134,-11.32017108,-12.12909875
C17_DH135,-46.38023539,-26.85991616
C17_DH136,24.45064628,1.178485873
C17_DH138,10.48226539,-3.836442744
C17_DH139,-7.069798491,1.112622316
C17_DH140,13.54531802,-1.340536282
C17_DH142,-23.17464923,-17.6659359
C17_DH143,-34.78581648,-30.6558301
C17_DH144,-10.51708165,-12.73378367
C17_DH146,2.167588399,0.18785981
C17_DH147,-2.662237363,-5.916617953
C17_DH150,3.903313754,-3.285589532
C17_DH152,-8.685618096,-1.299291382
C17_DH153,2.497095443,3.189557041
C17_DH154,-4.688144424,-1.764150359
C17_DH155,20.8867119,21.77266915
C17_DH158,5.519504159,5.977396184
C17_DH160,-30.63354319,-21.77385082
C17_DH161,-16.80926738,-10.80943131
C17_DH162,10.37183162,-3.409134155
C17_DH163,-5.33387632,7.398061798
C17_DH165,-13.72475513,-8.587788814
C17_DH166,16.26742176,11.94270122
C17_DH167,20.98704012,18.60687088
C17_DH169,9.954233793,10.48974473
C17_DH170,-31.30004487,-19.94054555
C17_DH172,3.877146404,1.589562341
C17_DH174,3.120296855,-6.634811966
C17_DH175,-19.38016948,-12.65071788
C17_DH177,-0.854133074,-4.505618458
C17_DH179,7.174672808,1.383384599
C17_DH180,7.679338212,-3.256595678
C17_DH181,9.887437296,4.463067301
C17_DH184,-17.47145917,3.324091702
C17_DH188,10.84299082,-0.479611163
C17_DH189,12.24493969,13.61451488
C17_DH190,-21.62240276,-16.33958511
C17_DH191,-6.127185379,-2.645646224
C17_DH195,0.006539225,-10.22780132
C17_DH196,-12.16838426,-21.07098957
C17_DH202,-6.125498669,-4.305935972
C17_DH205,-20.03263805,-4.715013104
C17_DH210,8.753715858,10.37720135
C17_DH216,-6.812657737,-2.773975661
C17_DH217,-3.025804583,-7.583727594
C17_DH218,5.208299965,6.96150167
C17_DH219,-7.222818807,-17.70787265
C17_DH220,-6.617037026,2.464175699
C17_DH221,5.448496551,-2.996141891
C17_DH223,-18.61538053,-11.34099125
C17_DH224,-15.38416565,-12.45618225
C17_DH225,-16.19816957,-8.743759829
C17_DH226,23.43483421,10.83508246
C17_DH228,0.604423803,-17.25179746
C17_DH232,14.03226308,-0.083103612
C17_DH233,-6.713378626,-4.471554835
C17_DH236,35.13265258,25.45307364
C17_DH238,-1.781789631,-6.441204699
C17_DH239,-2.849279135,3.385869577
C17_DH240,-4.967346392,-9.061056831
C17_DH241,-17.74387655,-8.188828187
C17_DH243,-1.505237178,-2.015351904
C17_DH244,6.122820103,-5.977550165
C17_DH247,13.31562224,3.535734479
C17_DH248,-25.44511517,-24.81264852
C17_DH252,20.23168115,-13.59523884
C17_DH253,-31.31834089,-15.0651797
C17_DH255,-1.484631571,6.060529024
C17_DH258,1.808794634,-0.223346958
C17_DH259,-4.110411686,-9.027637455
C17_DH262,-0.138406576,0.053748975
C17_DH264,-6.252565315,-1.40517
C17_DH265,-3.959423373,9.782600729
C17_DH267,8.149243478,1.924086585
C17_DH268,-2.330580538,6.100905742
C17_DH270,6.399752162,13.07360866
C17_DH271,-1.057945352,9.180825866
C17_DH273,-6.470557058,-4.827239457
C17_DH280,-0.711676443,-9.404352795
C17_DH282,-3.759867992,-7.751333445
C17_DH283,-0.529538309,12.93373789
C17_DH284,19.95900262,22.98548189
C17_DH286,27.13395459,19.82704226
C17_DH287,-14.2516317,-18.66465715
C17_DH290,-4.340877614,-5.689989662
C17_DH294,-20.76757493,-18.02469459
C17_DH296,-1.996837416,-5.476612966
C17_DH297,3.17715348,-0.41459648
C17_DH298,-9.841759858,-5.956138249
C17_DH299,-17.32331236,-9.90509113
C17_DH301,5.726619689,11.54347387
C17_DH304,-3.202638746,-14.7190027
C17_DH305,-10.41266398,-15.38356901
C17_DH307,24.68523672,27.83075783
C17_DH308,-5.761900235,-13.41589696
C17_DH309,6.374737555,-2.798498147
C17_DH310,-8.617578735,-16.22634561
C17_DH311,-7.106364392,0.389993889
C17_DH312,11.17596361,9.901963502
C17_DH313,-10.39208673,-1.978601807
C17_DH315,-3.747264881,0.832245574
C17_DH316,10.45732739,6.932388128
C17_DH317,-11.79254097,2.787354535
C17_DH319,-10.87111729,-13.74586924
C17_DH321,-8.946470447,-6.391357633
C17_DH323,-11.64389428,-24.37139774
C17_DH324,-18.02100989,-5.067522638
C17_DH326,-4.881901684,-0.343631918
C17_DH327,-3.905272661,-6.740079797
C17_DH332,17.37274845,5.99461621
